name,state,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,PValue,PAdj,FDR,falsePos,A1,A2,A3,B1,B2,B3
GENE-1810,NO,31.7,15.3,16.3,1.06,0.1,7.8e-01,1.0e+00,0.9939,3621,17,16,13,19,18,12
GENE-15614,NO,799.3,392.7,406.7,1.035,0,7.8e-01,1.0e+00,0.9944,3623,445,350,383,353,430,437
GENE-14078,NO,111,53.7,57.3,1.064,0.1,7.8e-01,1.0e+00,0.9944,3624,63,44,54,40,82,50
GENE-15832,NO,277.3,142.7,134.7,0.948,-0.1,7.8e-01,1.0e+00,0.9944,3625,181,91,156,126,130,148
GENE-17686,NO,45.7,22,23.7,1.071,0.1,7.8e-01,1.0e+00,0.9946,3627,25,12,29,25,25,21
GENE-2356,NO,24.7,11.7,13,1.108,0.1,7.8e-01,1.0e+00,0.9951,3630,8,15,12,5,14,20
GENE-7121,NO,54.3,26.3,28,1.057,0.1,7.8e-01,1.0e+00,0.9954,3632,20,34,25,28,23,33
GENE-17345,NO,17.3,9.3,8,0.854,-0.2,7.8e-01,1.0e+00,0.9954,3633,3,14,11,9,14,1
GENE-19910,NO,29,14,15,1.065,0.1,7.8e-01,1.0e+00,0.9954,3634,12,12,18,19,15,11
GENE-10064,NO,4233.3,2147.7,2085.7,0.971,0,7.8e-01,1.0e+00,0.9954,3635,2501,1948,1994,2134,2038,2085
GENE-19372,NO,331,169.3,161.7,0.956,-0.1,7.8e-01,1.0e+00,0.9954,3636,163,158,187,172,198,115
GENE-3853,NO,73,35.7,37.3,1.042,0.1,7.8e-01,1.0e+00,0.9954,3637,32,34,41,39,33,40
GENE-11874,NO,73.7,36,37.7,1.041,0.1,7.8e-01,1.0e+00,0.9954,3638,33,39,36,41,32,40
GENE-4888,NO,339,174.3,164.7,0.945,-0.1,7.8e-01,1.0e+00,0.9954,3639,165,220,138,227,140,127
GENE-9314,NO,409.3,213.7,195.7,0.915,-0.1,7.8e-01,1.0e+00,0.9954,3640,109,207,325,230,114,243
GENE-17401,NO,116.7,59.3,57.3,0.962,-0.1,7.8e-01,1.0e+00,0.9954,3641,50,57,71,59,53,60
GENE-8613,NO,259.7,127,132.7,1.044,0.1,7.8e-01,1.0e+00,0.9954,3642,122,138,121,170,127,101
GENE-2391,NO,611,312,299,0.959,-0.1,7.8e-01,1.0e+00,0.9954,3643,294,292,350,250,384,263
GENE-1322,NO,87,44.7,42.3,0.943,-0.1,7.8e-01,1.0e+00,0.9954,3644,32,41,61,42,51,34
GENE-19184,NO,209.3,106.7,102.7,0.961,-0.1,7.8e-01,1.0e+00,0.9954,3645,100,135,85,101,104,103
GENE-18724,NO,121.3,62,59.3,0.958,-0.1,7.8e-01,1.0e+00,0.9954,3646,58,62,66,55,48,75
GENE-18754,NO,20,10.3,9.7,0.932,-0.1,7.8e-01,1.0e+00,0.9954,3647,11,10,10,9,10,10
GENE-8076,NO,664.7,337.3,327.3,0.97,0,7.8e-01,1.0e+00,0.9954,3648,369,302,341,300,346,336
GENE-4349,NO,163,80,83,1.037,0.1,7.8e-01,1.0e+00,0.9954,3649,80,94,66,77,85,87
GENE-5389,NO,263.7,127.7,136,1.064,0.1,7.8e-01,1.0e+00,0.9954,3650,146,97,140,183,84,141
GENE-4773,NO,2442.7,1264.7,1178,0.932,-0.1,7.8e-01,1.0e+00,0.9954,3651,1056,1257,1481,1686,602,1246
GENE-7891,NO,483,247.3,235.7,0.954,-0.1,7.8e-01,1.0e+00,0.9954,3652,206,327,209,274,238,195
GENE-10441,NO,448.3,220,228.3,1.039,0.1,7.8e-01,1.0e+00,0.9954,3653,226,256,178,207,213,265
GENE-2777,NO,1433.3,706.3,727,1.029,0,7.8e-01,1.0e+00,0.9954,3654,735,646,738,751,650,780
GENE-14992,NO,124.3,60.7,63.7,1.049,0.1,7.8e-01,1.0e+00,0.9954,3655,42,67,73,64,57,70
GENE-8139,NO,1013.7,522.3,491.3,0.941,-0.1,7.8e-01,1.0e+00,0.9954,3656,709,491,367,586,557,331
GENE-10657,NO,117.7,57.7,60,1.036,0.1,7.8e-01,1.0e+00,0.9954,3657,56,50,67,60,59,61
GENE-11414,NO,2850,1401.7,1448.3,1.033,0,7.8e-01,1.0e+00,0.9954,3658,1491,1519,1195,1280,1669,1396
GENE-14791,NO,2234.3,1102.7,1131.7,1.026,0,7.9e-01,1.0e+00,0.9954,3659,1029,1098,1181,1052,1182,1161
GENE-3428,NO,307.3,150.3,157,1.045,0.1,7.9e-01,1.0e+00,0.9954,3660,174,124,153,155,122,194
GENE-16880,NO,20.7,10.7,10,0.934,-0.1,7.9e-01,1.0e+00,0.9954,3661,14,8,10,11,12,7
GENE-13935,NO,537,273.3,263.7,0.965,-0.1,7.9e-01,1.0e+00,0.9954,3662,240,266,314,219,289,283
GENE-61,NO,3827.3,1966,1861.3,0.947,-0.1,7.9e-01,1.0e+00,0.9954,3663,1864,2293,1741,2326,1132,2126
GENE-8197,NO,2295,1164.7,1130.3,0.971,0,7.9e-01,1.0e+00,0.9954,3664,1227,1061,1206,1184,1243,964
GENE-3849,NO,283.3,138,145.3,1.056,0.1,7.9e-01,1.0e+00,0.9954,3665,141,94,179,181,138,117
GENE-18858,NO,3610.7,1839.7,1771,0.963,-0.1,7.9e-01,1.0e+00,0.9954,3666,2355,1613,1551,1621,1763,1929
GENE-18585,NO,666.3,340,326.3,0.959,-0.1,7.9e-01,1.0e+00,0.9954,3667,378,256,386,319,282,378
GENE-18902,NO,1002.7,522,480.7,0.922,-0.1,7.9e-01,1.0e+00,0.9954,3668,465,835,266,616,480,346
GENE-5682,NO,147.3,75,72.3,0.964,-0.1,7.9e-01,1.0e+00,0.9954,3669,70,76,79,79,81,57
GENE-14322,NO,1324.7,679.3,645.3,0.951,-0.1,7.9e-01,1.0e+00,0.9954,3670,689,773,576,701,814,421
GENE-7708,NO,6628.7,3352.7,3276,0.977,0,7.9e-01,1.0e+00,0.9954,3671,3411,3465,3182,3094,3462,3272
GENE-9993,NO,847.3,433.7,413.7,0.954,-0.1,7.9e-01,1.0e+00,0.9954,3672,415,578,308,378,414,449
GENE-6236,NO,138.3,70.3,68,0.967,0,7.9e-01,1.0e+00,0.9954,3673,79,72,60,64,68,72
GENE-19882,NO,276,134.3,141.7,1.054,0.1,7.9e-01,1.0e+00,0.9954,3674,144,148,111,197,128,100
GENE-11765,NO,883.3,433,450.3,1.04,0.1,7.9e-01,1.0e+00,0.9954,3675,323,513,463,482,460,409
GENE-6772,NO,1355.7,663,692.7,1.045,0.1,7.9e-01,1.0e+00,0.9954,3676,631,494,864,779,646,653
GENE-4427,NO,24,13,11,0.845,-0.2,7.9e-01,1.0e+00,0.9954,3677,14,2,23,3,7,23
GENE-17756,NO,103.3,50.3,53,1.048,0.1,7.9e-01,1.0e+00,0.9954,3678,56,43,52,69,49,41
GENE-8153,NO,1263.3,647,616.3,0.953,-0.1,7.9e-01,1.0e+00,0.9954,3679,677,447,817,716,513,620
GENE-16441,NO,101,52,49,0.938,-0.1,7.9e-01,1.0e+00,0.9954,3680,38,47,71,67,34,46
GENE-17652,NO,331.7,162,169.7,1.049,0.1,7.9e-01,1.0e+00,0.9954,3681,138,188,160,173,120,216
GENE-12994,NO,743.3,338,405.3,1.199,0.3,7.9e-01,1.0e+00,0.9954,3682,38,632,344,730,359,127
GENE-18690,NO,99.3,50.7,48.7,0.956,-0.1,7.9e-01,1.0e+00,0.9954,3683,54,45,53,39,63,44
GENE-390,NO,46.3,23.7,22.7,0.954,-0.1,7.9e-01,1.0e+00,0.9954,3684,27,22,22,27,24,17
GENE-8075,NO,3504.3,1715,1789.3,1.044,0.1,7.9e-01,1.0e+00,0.9954,3685,1694,1868,1583,1239,2182,1947
GENE-10771,NO,1151.3,594,557.3,0.939,-0.1,7.9e-01,1.0e+00,0.9954,3686,855,359,568,575,670,427
GENE-3313,NO,22,11.3,10.7,0.938,-0.1,7.9e-01,1.0e+00,0.9954,3687,15,9,10,12,12,8
GENE-15603,NO,180.3,88.3,92,1.041,0.1,7.9e-01,1.0e+00,0.9954,3688,101,100,64,91,91,94
GENE-2978,NO,212.3,103.7,108.7,1.047,0.1,7.9e-01,1.0e+00,0.9954,3689,99,124,88,85,101,140
GENE-8876,NO,2507.3,1236.7,1270.7,1.027,0,7.9e-01,1.0e+00,0.9954,3690,1212,1317,1181,1190,1181,1441
GENE-19928,NO,110.3,53.7,56.7,1.051,0.1,7.9e-01,1.0e+00,0.9954,3691,52,42,67,67,42,61
GENE-7002,NO,68.7,33.3,35.3,1.055,0.1,7.9e-01,1.0e+00,0.9954,3692,36,29,35,26,49,31
GENE-14910,NO,323.3,164.7,158.7,0.966,-0.1,7.9e-01,1.0e+00,0.9954,3693,199,142,153,168,167,141
GENE-15201,NO,44,21,23,1.089,0.1,7.9e-01,1.0e+00,0.9954,3694,10,20,33,21,17,31
GENE-6951,NO,65.7,31.7,34,1.067,0.1,7.9e-01,1.0e+00,0.9954,3695,17,43,35,36,35,31
GENE-10462,NO,261.3,129,132.3,1.026,0,7.9e-01,1.0e+00,0.9954,3696,131,128,128,124,139,134
GENE-8650,NO,438,215.3,222.7,1.036,0.1,7.9e-01,1.0e+00,0.9954,3697,189,209,248,198,207,263
GENE-13206,NO,42,20.3,21.7,1.059,0.1,7.9e-01,1.0e+00,0.9954,3698,17,23,21,23,28,14
GENE-14408,NO,89,45.3,43.7,0.96,-0.1,7.9e-01,1.0e+00,0.9954,3699,51,40,45,42,36,53
GENE-13570,NO,45.3,22,23.3,1.056,0.1,7.9e-01,1.0e+00,0.9954,3700,29,17,20,28,18,24
GENE-13753,NO,178.7,91,87.7,0.959,-0.1,7.9e-01,1.0e+00,0.9954,3701,102,104,67,91,98,74
GENE-9365,NO,212.3,107.3,105,0.974,0,7.9e-01,1.0e+00,0.9954,3702,109,113,100,104,103,108
GENE-12678,NO,2354.7,1157.7,1197,1.034,0,7.9e-01,1.0e+00,0.9954,3703,1067,1347,1059,1368,992,1231
GENE-6746,NO,663,327,336,1.027,0,7.9e-01,1.0e+00,0.9954,3704,350,304,327,346,349,313
GENE-11633,NO,37.7,19.3,18.3,0.944,-0.1,7.9e-01,1.0e+00,0.9954,3705,23,20,15,15,25,15
GENE-17241,NO,96.7,47.3,49.3,1.037,0.1,7.9e-01,1.0e+00,0.9954,3706,42,54,46,45,55,48
GENE-16184,NO,63.7,31,32.7,1.048,0.1,7.9e-01,1.0e+00,0.9954,3707,26,39,28,28,31,39
GENE-7837,NO,1520.3,776,744.3,0.959,-0.1,8.0e-01,1.0e+00,0.9954,3708,672,884,772,781,543,909
GENE-13782,NO,525.7,255.3,270.3,1.06,0.1,8.0e-01,1.0e+00,0.9954,3709,292,286,188,238,186,387
GENE-16667,NO,38,19.7,18.3,0.928,-0.1,8.0e-01,1.0e+00,0.9954,3710,22,21,16,10,29,16
GENE-15074,NO,339,165.7,173.3,1.049,0.1,8.0e-01,1.0e+00,0.9954,3711,201,151,145,140,145,235
GENE-10346,NO,138,70.3,67.7,0.958,-0.1,8.0e-01,1.0e+00,0.9954,3712,73,54,84,56,80,67
GENE-3990,NO,942,464,478,1.03,0,8.0e-01,1.0e+00,0.9954,3713,449,410,533,452,472,510
GENE-5712,NO,446,226.7,219.3,0.969,0,8.0e-01,1.0e+00,0.9954,3714,255,218,207,190,242,226
GENE-3340,NO,91,46.3,44.7,0.96,-0.1,8.0e-01,1.0e+00,0.9954,3715,53,40,46,44,37,53
GENE-3216,NO,824,404.7,419.3,1.037,0.1,8.0e-01,1.0e+00,0.9955,3716,474,383,357,384,506,368
GENE-10437,NO,92,46.7,45.3,0.967,0,8.0e-01,1.0e+00,0.9955,3717,50,44,46,45,41,50
GENE-6710,NO,951,467,484,1.037,0.1,8.0e-01,1.0e+00,0.9955,3718,485,391,525,410,463,579
GENE-18578,NO,127,62,65,1.049,0.1,8.0e-01,1.0e+00,0.9955,3719,77,68,41,58,74,63
GENE-13958,NO,31.7,15.3,16.3,1.059,0.1,8.0e-01,1.0e+00,0.9955,3720,12,20,14,18,19,12
GENE-12137,NO,986,502.7,483.3,0.962,-0.1,8.0e-01,1.0e+00,0.9955,3721,421,522,565,415,612,423
GENE-4227,NO,216.7,106,110.7,1.041,0.1,8.0e-01,1.0e+00,0.9955,3722,84,138,96,112,101,119
GENE-3970,NO,106,51.3,54.7,1.059,0.1,8.0e-01,1.0e+00,0.9955,3723,34,57,63,72,49,43
GENE-9173,NO,29.3,14,15.3,1.089,0.1,8.0e-01,1.0e+00,0.9955,3724,16,21,5,16,16,14
GENE-4032,NO,622,306.3,315.7,1.03,0,8.0e-01,1.0e+00,0.9955,3725,329,268,322,310,290,347
GENE-8894,NO,129.3,63,66.3,1.053,0.1,8.0e-01,1.0e+00,0.9955,3726,60,76,53,43,83,73
GENE-12947,NO,11264.7,5885,5379.7,0.914,-0.1,8.0e-01,1.0e+00,0.9955,3727,4605,4848,8202,9051,2230,4858
GENE-9770,NO,76.3,37,39.3,1.057,0.1,8.0e-01,1.0e+00,0.9955,3728,27,48,36,44,46,28
GENE-17642,NO,205.3,104.3,101,0.966,0,8.0e-01,1.0e+00,0.9955,3729,89,109,115,118,87,98
GENE-4418,NO,1944.3,1121.7,822.7,0.733,-0.4,8.0e-01,1.0e+00,0.9955,3730,260,754,2351,48,2412,8
GENE-2313,NO,433.7,213.3,220.3,1.034,0,8.0e-01,1.0e+00,0.9955,3731,182,218,240,223,250,188
GENE-192,NO,309,158,151,0.958,-0.1,8.0e-01,1.0e+00,0.9955,3732,165,109,200,144,161,148
GENE-11799,NO,547.3,268.3,279,1.039,0.1,8.0e-01,1.0e+00,0.9955,3733,327,217,261,293,315,229
GENE-8579,NO,19,9,10,1.105,0.1,8.0e-01,1.0e+00,0.9955,3734,8,7,12,15,3,12
GENE-13233,NO,1488.7,732,756.7,1.034,0,8.0e-01,1.0e+00,0.9955,3735,737,694,765,696,938,636
GENE-18338,NO,828,404.3,423.7,1.049,0.1,8.0e-01,1.0e+00,0.9955,3736,429,348,436,386,584,301
GENE-19961,NO,49,25.3,23.7,0.93,-0.1,8.0e-01,1.0e+00,0.9955,3737,26,30,20,29,11,31
GENE-14240,NO,805,408.3,396.7,0.972,0,8.0e-01,1.0e+00,0.9955,3738,392,374,459,431,389,370
GENE-6500,NO,366.7,186.7,180,0.966,0,8.0e-01,1.0e+00,0.9955,3739,151,214,195,164,208,168
GENE-757,NO,62.3,31.7,30.7,0.964,-0.1,8.0e-01,1.0e+00,0.9955,3740,28,34,33,31,30,31
GENE-3393,NO,37,19,18,0.944,-0.1,8.0e-01,1.0e+00,0.9955,3741,22,21,14,12,23,19
GENE-10684,NO,3702.3,1886.3,1816,0.963,-0.1,8.0e-01,1.0e+00,0.9955,3742,1601,1925,2133,1412,2290,1746
GENE-213,NO,162.3,79.3,83,1.045,0.1,8.0e-01,1.0e+00,0.9955,3743,59,89,90,64,97,88
GENE-13169,NO,650.7,316.7,334,1.056,0.1,8.0e-01,1.0e+00,0.9955,3744,271,232,447,253,328,421
GENE-218,NO,109.7,52.7,57,1.082,0.1,8.0e-01,1.0e+00,0.9955,3745,29,92,37,48,69,54
GENE-17272,NO,281,136.7,144.3,1.06,0.1,8.0e-01,1.0e+00,0.9955,3746,74,167,169,138,126,169
GENE-6436,NO,62,31.7,30.3,0.954,-0.1,8.0e-01,1.0e+00,0.9955,3747,34,25,36,24,39,28
GENE-17243,NO,463.3,228,235.3,1.034,0,8.0e-01,1.0e+00,0.9955,3748,256,230,198,192,262,252
GENE-18888,NO,2439,1236,1203,0.974,0,8.0e-01,1.0e+00,0.9955,3749,1300,1051,1357,1130,1278,1201
GENE-11376,NO,167.3,81.3,86,1.057,0.1,8.0e-01,1.0e+00,0.9955,3750,72,60,112,109,61,88
GENE-15706,NO,452.7,223.3,229.3,1.028,0,8.0e-01,1.0e+00,0.9955,3751,240,207,223,207,260,221
GENE-8533,NO,645,317.7,327.3,1.03,0,8.0e-01,1.0e+00,0.9955,3752,305,358,290,324,291,367
GENE-2363,NO,323.3,159.7,163.7,1.027,0,8.1e-01,1.0e+00,0.9955,3753,175,149,155,178,158,155
GENE-7946,NO,43.3,21,22.3,1.057,0.1,8.1e-01,1.0e+00,0.9955,3754,16,24,23,17,31,19
GENE-10198,NO,932.3,447,485.3,1.085,0.1,8.1e-01,1.0e+00,0.9955,3755,669,275,397,228,602,626
GENE-8693,NO,86,42,44,1.042,0.1,8.1e-01,1.0e+00,0.9955,3756,39,48,39,49,50,33
GENE-6503,NO,686,350.7,335.3,0.957,-0.1,8.1e-01,1.0e+00,0.9955,3757,384,395,273,365,402,239
GENE-4633,NO,422.7,215.3,207.3,0.964,-0.1,8.1e-01,1.0e+00,0.9955,3758,174,251,221,243,168,211
GENE-3562,NO,39.7,20.7,19,0.915,-0.1,8.1e-01,1.0e+00,0.9955,3759,12,14,36,16,28,13
GENE-18386,NO,152.3,74.7,77.7,1.039,0.1,8.1e-01,1.0e+00,0.9955,3760,59,96,69,75,84,74
GENE-8655,NO,1057.7,535.3,522.3,0.975,0,8.1e-01,1.0e+00,0.9955,3761,543,577,486,543,534,490
GENE-6493,NO,1463.7,721.3,742.3,1.029,0,8.1e-01,1.0e+00,0.9955,3762,798,618,748,762,804,661
GENE-14797,NO,6612.7,3262,3350.7,1.027,0,8.1e-01,1.0e+00,0.9955,3763,3766,3063,2957,2993,3628,3431
GENE-14726,NO,2023,995.7,1027.3,1.032,0,8.1e-01,1.0e+00,0.9955,3764,1182,975,830,900,1136,1046
GENE-6439,NO,51.3,25,26.3,1.048,0.1,8.1e-01,1.0e+00,0.9955,3765,26,29,20,22,34,23
GENE-9122,NO,159,81,78,0.962,-0.1,8.1e-01,1.0e+00,0.9955,3766,60,101,82,73,75,86
GENE-3010,NO,27.3,14,13.3,0.948,-0.1,8.1e-01,1.0e+00,0.9955,3767,12,11,19,14,14,12
GENE-16650,NO,1389,703.3,685.7,0.975,0,8.1e-01,1.0e+00,0.9955,3768,702,660,748,645,759,653
GENE-1567,NO,65,33.3,31.7,0.945,-0.1,8.1e-01,1.0e+00,0.9955,3769,24,38,38,20,39,36
GENE-8617,NO,642.7,310,332.7,1.074,0.1,8.1e-01,1.0e+00,0.9955,3770,264,217,449,333,485,180
GENE-17415,NO,67,32.7,34.3,1.045,0.1,8.1e-01,1.0e+00,0.9955,3771,26,35,37,41,26,36
GENE-18973,NO,7581,3731,3850,1.032,0,8.1e-01,1.0e+00,0.9955,3772,2857,4095,4241,3575,3806,4169
GENE-11925,NO,36.3,17.3,19,1.092,0.1,8.1e-01,1.0e+00,0.9955,3773,31,14,7,22,14,21
GENE-6635,NO,49.7,25.7,24,0.932,-0.1,8.1e-01,1.0e+00,0.9955,3774,42,21,14,28,21,23
GENE-9908,NO,42.7,22,20.7,0.936,-0.1,8.1e-01,1.0e+00,0.9955,3775,23,11,32,20,24,18
GENE-9207,NO,74.3,39,35.3,0.903,-0.1,8.1e-01,1.0e+00,0.9955,3776,52,9,56,29,48,29
GENE-3372,NO,828.7,366,462.7,1.264,0.3,8.1e-01,1.0e+00,0.9955,3777,577,484,37,169,20,1199
GENE-15670,NO,112,59.7,52.3,0.875,-0.2,8.1e-01,1.0e+00,0.9955,3778,63,14,102,24,30,103
GENE-13714,NO,1129.3,557,572.3,1.028,0,8.1e-01,1.0e+00,0.9955,3779,617,550,504,645,554,518
GENE-2599,NO,33,17,16,0.938,-0.1,8.1e-01,1.0e+00,0.9955,3780,20,21,10,11,16,21
GENE-17954,NO,18,9.3,8.7,0.924,-0.1,8.1e-01,1.0e+00,0.9955,3781,7,13,8,11,11,4
GENE-14224,NO,94.7,48.7,46,0.941,-0.1,8.1e-01,1.0e+00,0.9955,3782,36,42,68,34,38,66
GENE-9936,NO,31,16.3,14.7,0.896,-0.2,8.1e-01,1.0e+00,0.9955,3783,24,9,16,5,10,29
GENE-6258,NO,970.7,479,491.7,1.026,0,8.1e-01,1.0e+00,0.9955,3784,505,505,427,535,456,484
GENE-11399,NO,75.3,36.3,39,1.067,0.1,8.1e-01,1.0e+00,0.9955,3785,28,56,25,27,41,49
GENE-8477,NO,40,19.3,20.7,1.063,0.1,8.1e-01,1.0e+00,0.9955,3786,12,21,25,28,18,16
GENE-10876,NO,460,234,226,0.967,0,8.1e-01,1.0e+00,0.9955,3787,266,239,197,263,185,230
GENE-13438,NO,20.7,10,10.7,1.061,0.1,8.1e-01,1.0e+00,0.9955,3788,10,13,7,8,11,13
GENE-7588,NO,20.7,10,10.7,1.061,0.1,8.1e-01,1.0e+00,0.9955,3789,11,12,7,11,9,12
GENE-11738,NO,69.7,35.7,34,0.949,-0.1,8.1e-01,1.0e+00,0.9955,3790,46,37,24,29,44,29
GENE-16926,NO,410,208.3,201.7,0.97,0,8.1e-01,1.0e+00,0.9955,3791,192,194,239,202,171,232
GENE-16127,NO,43,21,22,1.043,0.1,8.1e-01,1.0e+00,0.9955,3792,24,18,21,25,24,17
GENE-13249,NO,111.3,56.7,54.7,0.96,-0.1,8.1e-01,1.0e+00,0.9955,3793,44,51,75,54,60,50
GENE-4841,NO,68.7,33.7,35,1.034,0,8.1e-01,1.0e+00,0.9955,3794,33,39,29,33,36,36
GENE-1954,NO,300.3,147.7,152.7,1.036,0.1,8.1e-01,1.0e+00,0.9955,3795,160,135,148,120,195,143
GENE-18242,NO,89,43,46,1.065,0.1,8.1e-01,1.0e+00,0.9955,3796,47,41,41,25,72,41
GENE-748,NO,129,63,66,1.048,0.1,8.2e-01,1.0e+00,0.9955,3797,67,73,49,91,54,53
GENE-17576,NO,44.3,21.7,22.7,1.041,0.1,8.2e-01,1.0e+00,0.9955,3798,25,19,21,20,24,24
GENE-18766,NO,1105.3,545.3,560,1.026,0,8.2e-01,1.0e+00,0.9955,3799,605,487,544,532,523,625
GENE-19998,NO,170.7,86.7,84,0.968,0,8.2e-01,1.0e+00,0.9955,3800,70,85,105,88,87,77
GENE-8521,NO,634.7,313.3,321.3,1.024,0,8.2e-01,1.0e+00,0.9955,3801,328,295,317,306,305,353
GENE-10017,NO,852.7,431.3,421.3,0.977,0,8.2e-01,1.0e+00,0.9955,3802,408,462,424,430,434,400
GENE-17240,NO,28.3,13.7,14.7,1.068,0.1,8.2e-01,1.0e+00,0.9955,3803,13,10,18,8,19,17
GENE-19120,NO,343.3,168.7,174.7,1.038,0.1,8.2e-01,1.0e+00,0.9955,3804,188,139,179,155,145,224
GENE-958,NO,1068.7,527.3,541.3,1.026,0,8.2e-01,1.0e+00,0.9955,3805,549,519,514,543,468,613
GENE-15179,NO,294.3,150,144.3,0.962,-0.1,8.2e-01,1.0e+00,0.9955,3806,121,169,160,146,108,179
GENE-9062,NO,315.7,161,154.7,0.96,-0.1,8.2e-01,1.0e+00,0.9955,3807,153,200,130,151,119,194
GENE-10068,NO,2332.7,1181,1151.7,0.975,0,8.2e-01,1.0e+00,0.9955,3808,1267,1223,1053,1014,1273,1168
GENE-12594,NO,134.3,65.7,68.7,1.041,0.1,8.2e-01,1.0e+00,0.9955,3809,62,53,82,73,53,80
GENE-15192,NO,113,55,58,1.05,0.1,8.2e-01,1.0e+00,0.9955,3810,74,57,34,49,61,64
GENE-15229,NO,994.3,488.3,506,1.037,0.1,8.2e-01,1.0e+00,0.9955,3811,487,527,451,663,464,391
GENE-6976,NO,119,62,57,0.918,-0.1,8.2e-01,1.0e+00,0.9955,3812,98,39,49,23,63,85
GENE-13985,NO,94.3,48.3,46,0.953,-0.1,8.2e-01,1.0e+00,0.9955,3813,32,68,45,46,51,41
GENE-18633,NO,330,167.3,162.7,0.974,0,8.2e-01,1.0e+00,0.9955,3814,167,151,184,175,141,172
GENE-6800,NO,994,505,489,0.968,0,8.2e-01,1.0e+00,0.9955,3815,410,626,479,434,528,505
GENE-15438,NO,1004.7,509.3,495.3,0.972,0,8.2e-01,1.0e+00,0.9955,3816,514,486,528,454,433,599
GENE-9907,NO,2147,1059.3,1087.7,1.027,0,8.2e-01,1.0e+00,0.9955,3817,1173,1082,923,1186,1138,939
GENE-9902,NO,32,16.3,15.7,0.954,-0.1,8.2e-01,1.0e+00,0.9955,3818,13,20,16,18,17,12
GENE-16798,NO,265.7,128.7,137,1.065,0.1,8.2e-01,1.0e+00,0.9955,3819,83,97,206,108,121,182
GENE-2082,NO,124,60.3,63.7,1.055,0.1,8.2e-01,1.0e+00,0.9955,3820,39,66,76,42,74,75
GENE-1345,NO,113.3,57.3,56,0.972,0,8.2e-01,1.0e+00,0.9955,3821,58,51,63,60,56,52
GENE-5971,NO,679.3,331.7,347.7,1.047,0.1,8.2e-01,1.0e+00,0.9955,3822,379,232,384,342,255,446
GENE-5315,NO,209.3,105.7,103.7,0.976,0,8.2e-01,1.0e+00,0.9955,3823,110,109,98,108,107,96
GENE-11577,NO,858,434.7,423.3,0.975,0,8.2e-01,1.0e+00,0.9955,3824,461,423,420,371,481,418
GENE-19039,NO,1776.7,903.3,873.3,0.967,0,8.2e-01,1.0e+00,0.9955,3825,1164,855,691,841,914,865
GENE-17380,NO,39,19,20,1.047,0.1,8.2e-01,1.0e+00,0.9955,3826,14,18,25,18,23,19
GENE-424,NO,249.7,122,127.7,1.047,0.1,8.2e-01,1.0e+00,0.9955,3827,163,121,82,152,132,99
GENE-3881,NO,1475,762.7,712.3,0.934,-0.1,8.2e-01,1.0e+00,0.9955,3828,800,818,670,296,760,1081
GENE-19350,NO,202.7,99.7,103,1.029,0,8.2e-01,1.0e+00,0.9955,3829,111,91,97,87,116,106
GENE-8483,NO,679.7,329,350.7,1.067,0.1,8.2e-01,1.0e+00,0.9955,3830,486,254,247,209,518,325
GENE-120,NO,2464,1206.3,1257.7,1.043,0.1,8.2e-01,1.0e+00,0.9955,3831,1679,913,1027,1493,1112,1168
GENE-11435,NO,33.3,17,16.3,0.956,-0.1,8.2e-01,1.0e+00,0.9955,3832,15,21,15,15,16,18
GENE-17502,NO,238.7,121,117.7,0.971,0,8.2e-01,1.0e+00,0.9955,3833,117,104,142,134,114,105
GENE-681,NO,56,28.7,27.3,0.949,-0.1,8.2e-01,1.0e+00,0.9955,3834,22,39,25,22,23,37
GENE-10362,NO,1273,623,650,1.043,0.1,8.2e-01,1.0e+00,0.9955,3835,541,465,863,610,776,564
GENE-11529,NO,368.7,181.7,187,1.032,0,8.2e-01,1.0e+00,0.9955,3836,202,187,156,199,214,148
GENE-2461,NO,135.3,66.3,69,1.041,0.1,8.2e-01,1.0e+00,0.9955,3837,79,65,55,91,55,61
GENE-14042,NO,56,28.7,27.3,0.95,-0.1,8.2e-01,1.0e+00,0.9955,3838,30,21,35,20,24,38
GENE-10890,NO,132.7,64.3,68.3,1.058,0.1,8.2e-01,1.0e+00,0.9955,3839,71,34,88,83,67,55
GENE-9225,NO,660.7,339.7,321,0.946,-0.1,8.2e-01,1.0e+00,0.9955,3840,298,300,421,420,170,373
GENE-19026,NO,627.3,320,307.3,0.961,-0.1,8.2e-01,1.0e+00,0.9955,3841,352,351,257,247,413,262
GENE-19078,NO,591,291.3,299.7,1.029,0,8.3e-01,1.0e+00,0.9955,3842,322,309,243,276,341,282
GENE-3370,NO,451.3,222.3,229,1.031,0,8.3e-01,1.0e+00,0.9955,3843,228,257,182,253,193,241
GENE-8339,NO,213.3,104,109.3,1.047,0.1,8.3e-01,1.0e+00,0.9955,3844,119,61,132,105,118,105
GENE-7883,NO,245,125.3,119.7,0.954,-0.1,8.3e-01,1.0e+00,0.9955,3845,152,86,138,155,120,84
GENE-10999,NO,2899.7,1412,1487.7,1.054,0.1,8.3e-01,1.0e+00,0.9955,3846,1971,816,1449,1827,1171,1465
GENE-19520,NO,2908,1432,1476,1.031,0,8.3e-01,1.0e+00,0.9955,3847,1690,1160,1446,1735,1352,1341
